,Unnamed: 0,raw_header,reuters_url,article_publish_date,processed_header,neg,neu,pos,compound
40,40,Apple launches new MacBook Pro with updated keyboard,https://www.reuters.com/article/us-apple-macbook/apple-launches-new-macbook-pro-with-updated-keyboard-idUSKBN22G1KW,2 months ago,Apple launches new MacBook Pro with updated keyboard,0.0,1.0,0.0,0.0
41,41,Apple launches new MacBook Pro,https://www.reuters.com/article/apple-macbook/apple-launches-new-macbook-pro-idUSL4N2CM29Z,2 months ago,Apple launches new MacBook Pro,0.0,1.0,0.0,0.0
42,42,US STOCKS SNAPSHOT-Wall St slides at open as Trump warns of new tariffs on China,https://www.reuters.com/article/usa-stocks/us-stocks-snapshot-wall-st-slides-at-open-as-trump-warns-of-new-tariffs-on-china-idUSL4N2CJ2AS,2 months ago,Wall St slides at open as Trump warns of new tariffs on China,0.104,0.896,0.0,-0.1027
43,43,US STOCKS-Futures slide as Trump threatens new tariffs on China,https://www.reuters.com/article/usa-stocks/us-stocks-futures-slide-as-trump-threatens-new-tariffs-on-china-idUSL4N2CJ1QE,2 months ago,Futures slide as Trump threatens new tariffs on China,0.245,0.755,0.0,-0.3818
44,44,"Apple, Huawei boost market share, as first-quarter China smartphone shipments fall: Canalys",https://www.reuters.com/article/us-smartphone-sales-china/apple-huawei-boost-market-share-as-first-quarter-china-smartphone-shipments-fall-canalys-idUSKBN22D44U,2 months ago,"Apple, Huawei boost market share, as first-quarter China smartphone shipments fall: Canalys",0.0,0.671,0.329,0.5994
45,45,Apple sales inch higher despite coronavirus but CEO Tim Cook sees uncertain future,https://www.reuters.com/article/us-apple-results/apple-sales-inch-higher-despite-coronavirus-but-ceo-tim-cook-sees-uncertain-future-idUSKBN22C3PT,2 months ago,Apple sales inch higher despite coronavirus but CEO Tim Cook sees uncertain future,0.189,0.811,0.0,-0.4215
46,46,"BRIEF-Apple CEO Tim Cook Says Austria, Australia Apple Stores To Reopen In 1 To 2 Weeks - Bloomberg News Interview",https://www.reuters.com/article/brief-apple-ceo-tim-cook-says-austria-au/brief-apple-ceo-tim-cook-says-austria-australia-apple-stores-to-reopen-in-1-to-2-weeks-bloomberg-news-interview-idUSFWN2CI27U,2 months ago,"Apple CEO Tim Cook Says Austria, Australia Apple Stores To Reopen In 1 To 2 Weeks - Bloomberg News Interview",0.0,1.0,0.0,0.0
47,47,Breakingviews - Apple may bruise but it should still bounce back,https://www.reuters.com/article/us-apple-results-breakingviews/breakingviews-apple-may-bruise-but-it-should-still-bounce-back-idUSKBN22C3TT,2 months ago,Apple may bruise but it should still bounce back,0.0,1.0,0.0,0.0
48,48,Apple reports higher sales as China reopens after coronavirus but gives no forecast,https://www.reuters.com/article/apple-results/apple-reports-higher-sales-as-china-reopens-after-coronavirus-but-gives-no-forecast-idUSL1N2CI1T2,2 months ago,Apple reports higher sales as China reopens after coronavirus but gives no forecast,0.189,0.811,0.0,-0.4215
49,49,Global smartphone output to plunge by record 16.5% in June quarter: TrendForce,https://www.reuters.com/article/us-smartphone-sales/global-smartphone-output-to-plunge-by-record-16-5-in-june-quarter-trendforce-idUSKBN22C1BZ,2 months ago,Global smartphone output to plunge by record 16.5% in June quarter: TrendForce,0.0,1.0,0.0,0.0
